Company;Position;Rate;ApplicationDate;Status;StatusDate;Comment;Link
Progressive Insurance; Software Developer Mid or Senior; 98-137k; 5/11/26;Open; 5/11/26;; https://jobright.ai/jobs/info/6a02022b238f143e8352fc68?utm_source=1121&imp_id=3673496432511879909__instant_push__1778517068235_1850&utm_medium=email
StorSuite; Senior .NET Engineer (Microservices & API Integrations); ; 5/11/26;Open; 5/11/26;; https://jobright.ai/jobs/info/6a0197fafa1aa73213d93b07?utm_source=1121&imp_id=3673496432511879909__instant_push__1778517068235_4423&utm_medium=email
Olivine, Inc; .NET Software Developer; ; 5/11/26;Open; 5/11/26;; https://jobright.ai/jobs/info/6a01e49b3053db70a1172fab?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1778517146242_8492&utm_medium=email
Konexial Inc.; Backend Web Developer; 20-30/hr (WTF??); 5/11/26;Open; 5/11/26; Very low rate, but willing to hear more about them as they are in Knoxville.  Konexial.com; https://www.ziprecruiter.com/jobs/v2/eyJsaXN0aW5nX2tleSI6IkUxeFNhTkVlcWhvZUxyZGY1ZFJITHciLCJtYXRjaF9pZCI6IjAxOWUxN2U1LTAxODctN2YwMC1iN2VhLWIyYTljMWY0NzdhMSIsImJpZF90cmFja2luZ19kYXRhIjoiQUFITEZJdzZhMDdTbUpYamtoZ2Ztd3ozM1puV3FwcjJ3WmJfb2VCanA1MTktRmlDOGdHLXQ1OHpmbjlmdE1CRlh3cEl1LWk3Iiwic291cmNlX3BsYWNlbWVudF9pZCI6NDMwMjR9?tsid=111000153
OptimHire; Senior Backend Software Engineer .NET/AWS (514 @ Ubiminds; ; 5/11/26;Open; 5/11/26;; https://opty.in/bnlJCB8
Lifelancer; Back End (C# .NET) Software Engineer; ; 5/11/26;Open; 5/11/26;; optimhire.com
Rockwell Automation; Senior Software Engineer (C#/SQL) - Plex; ; 5/11/26;Open; 5/11/26;; https://www.dice.com/job-detail/d8a5558a-bc6c-46c9-974e-51bf7b0d21c6
Accenture; COBOL Developer 6292208; 50-60/hr; 5/14/26; Rejected; 5/22/2026;; https://www.indeed.com/viewjob?jk=17a84e8c2390da13&tk=1jof0do1egq69800&from=serp&vjs=3
Tech Holding; Senior .NET Engineer (Contract); ; 5/14/26;Open; 5/14/26;; https://www.indeed.com/viewjob?jk=ae4f80c1d1fb4cbc&tk=1joi0lg7ggdmm801&from=serp&vjs=3
ImagineX Consulting; Backend Technical Lead; ; 5/14/26;Open; 5/14/26;; https://www.indeed.com/viewjob?jk=de8a141ddf3f8bdd&tk=1joi0lg7ggdmm801&from=serp&vjs=3
Opendorse; Full-Stack Software Engineer (.NET/React); ; 5/1/26;Open; 5/1/26;; https://www.indeed.com/viewjob?jk=5c6169632aba3a53&tk=1joi0na68gksg800&from=serp&vjs=3
Talent Software Services - Prabhdeep Singh; Mainframe Programmer Remote Role - State of SC; ; 5/14/26;Open; 5/14/26;; prabhdeep@talentemail.com
Skillable; Senior Software Engineer; 130-150k; 5/14/26; Rejected; 5/22/2026;; https://www.glassdoor.com/job-listing/senior-software-engineer-skillable-JV_KO0,24_KE25,34.htm?jl=1009617313694&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos9-age1d-1009617313694&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jojeimqvj71i800-1f27764513ecd7e7&cs=1_cf62c992&s=224&t=JA&pos=109&ja=378462087&guid=0000019e26dcfe40a7caab3a401bec6a&jobListingId=1009617313694&vt=e&cb=1778769288327&ctt=1778781996502&srs=EMAIL_JOB_ALERT&gdir=1
Dayforce; Software Developer III; 77-137k; 5/14/26;Open; 5/14/26;; https://www.linkedin.com/jobs/view/4413075094/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_2_jobid_4413075094_ssid_14583149764_fmid_mw6pip~mp4crs4a~xt&refId=zdCzNqaIb4LuTlLsPfuA9A%3D%3D&trackingId=%2F1LIe%2FfA%2Bn8x9WT41kAP%2Bg%3D%3D
Rec Gen; Software Engineer; ; 5/14/26;Open; 5/14/26;; https://www.linkedin.com/jobs/view/4413761412/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4413761412_ssid_14583149764_fmid_mw6pip~mp5jmzi8~6a&refId=3fAo4%2F19g7pDKUUKWa%2Bt0Q%3D%3D&trackingId=7c42JnUwpeAMBRrBNNDWuw%3D%3D
Andersen Inc.; Backend Developer (.NET) in the USA; 42-55k (WTF??); 5/14/26;Open; 5/14/26;; https://www.dice.com/job-detail/30ee8d9c-89ed-45b7-90e3-7feb33e77a11
InfoPeople Corp; FullStack Developer; 60-65/hr; 5/14/26;Open; 5/14/26;; https://www.dice.com/job-detail/0a51441d-6433-4b59-b21c-5d9ef0dace31
Inflow Federal; Software Engineer; ; 5/14/26;Open; 5/14/26;; https://www.indeed.com/viewjob?jk=d9e6e5e46c0676fc&tk=1jof0ch6rgiml803&from=serp&vjs=3
One Identity; Senior Software Engineer (Backend) Job ID 2026-13142; ; 5/15/26; Rejected; 5/22/2026;; https://jobright.ai/jobs/info/6a068d69bc4184089f2505e6?utm_source=1121&imp_id=3673496432511879909__instant_push__1778817906834_7843&utm_medium=email
CharityEngine; Senior .NET Software Developer; 120-150k; 5/15/26;Open; 5/15/26;; https://jobright.ai/jobs/info/6a059027a88ea73abf7f2044?utm_source=1121&imp_id=3673496432511879909__instant_push__1778817906834_5359&utm_medium=email
HungerRush; Software Engineer II; ; 5/15/26; Rejected; 5/22/2026;; https://jobright.ai/jobs/info/6a0618dfbc4184089f24b126?utm_source=1121&imp_id=3673496432511879909__instant_push__1778817906834_5359&utm_medium=email
Qualitest; .NET / WinForms Developer; ; 5/15/26;Open; 5/15/26;; https://jobright.ai/jobs/info/6a06416e7c753c287f7012ff?utm_source=1121&imp_id=3673496432511879909__instant_push__1778817906834_5359&utm_medium=email
General Motors; Senior Integration Lead - GM Motorsports (JR-202603971) (Remote in Concord NC?);   ; 5/15/26; Rejected; 5/29/26; Rejection Received; https://www.dice.com/job-detail/830e4055-1fd7-449b-8061-2ccbe5a93ed8
Clearwaters.IT; Senior .NET Developer; 125-135k; 5/14/26;Open; 5/14/26;; https://www.indeed.com/viewjob?jk=81606874579a6000&tk=1jof0ch6rgiml803&from=serp&vjs=3
Verisma; Software Engineer; 110-125k; 5/15/26;Open; 5/15/26;; https://www.indeed.com/viewjob?jk=1ce65b39e6b70a77&tk=1jof0do1egq69800&from=serp&vjs=3
Sanametrix; Senior .Net Developer; 160-180k; 5/15/26; Rejected; 5/22/2026;; https://www.glassdoor.com/job-listing/senior-net-developer-sanametrix-JV_KO0,20_KE21,31.htm?jl=1010134316516&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos1-age1d-1010134316516&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1110586&jrtk=5-yul1-0-1jom1gl3mia5p800-6e0cd3be5db4c558---6NYlbfkN0CyQKdz8_lqdlgY-c-amsQST66Z8QjChsyYA8vzcGklWAhCJIzjv5ewRpMaX5jwO7acmX6Qoqfz4bm_yUymadbgUSeIVQrHgICF04NcIPVDjbGaa36zbvFRXlP9uPMEP6LUMgFWojHXm8FwF7pG5MJaawkLK36WKNEHHcWcaSPSjZYO0BmkXmSvmG1elDS1F0gw3OYo1weeRT74Eic3Tz58-sYMW9haxNVMu-GCdBZTJD5cMyqX7lmndCVUTnsOKJHD5u_wNjvOFyVroxM8N8IvhowDBZIMjmgRD3XuXCoaea7XRLDhOG9YMA4dCJWhWYDaxnM4LSX14kiEiP3kOTTwTKpok6SBcUhTjFNV18rYnrREGDr6P8JMRBOFTAQ8ehN12WfnSEgAaY3mX3VZXEjCF1yeqTE4jyR1ik317d0OCbiLmW2X-qQnjbE_rwuUCFHr4KEtv41c7l3ptKDb_R807XkM5d76fn_-5ZA_CkNPdDJPM4Mj2aBN8anwxttEvCDBxBx33ufdeDBRfnXrhIvAX_6FaAiS8AYOoV-eI2dw2PedOCjIL7VewMuV4vZmklaWHjQEijKwbbf3zi82zGhcH_b9e_Zw_EglJmOq8-ADAXRxvF1c8PuUj0TighD2xhdRIqVeJR_Kh5gQ7O9mx1_3bIfrjGnkVlMe8p3WNhZK-9wSLFIFSIqf6Kwx9nxBhPZwgr3hipYBP9laL0WMmRl7EQlrxSwJoP0p_G4GKWllTD4_nZ7Kz0iwgn2k1n1lcagErkqj1oOWBpr29EBrpKsiuGZUFBzRjKMFU4Nlv5rVD6yJJEV0QKbHSC2mGhKyUne3vX1wXooHUN_-mGYW77jFm-sIKlncNew%3D&cs=1_8a34738e&s=224&t=JA&pos=101&cpc=9908D8D4413DBB8A&ja=399775333&guid=0000019e2c03c025ae84e2eae6553e71&jobListingId=1010134316516&ea=1&vt=e&cb=1778856252762&ctt=1778858756000&srs=EMAIL_JOB_ALERT&gdir=1
HealthEdge; Senior Software Engineer; ;5/18/26;Open;5/18/26;; https://www.linkedin.com/jobs/view/4397396926/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4397396926_ssid_15257593108_fmid_mw6pip~mpb9edle~e4&refId=G17TzIoDT2YD3DApj4efYg%3D%3D&trackingId=m2yPMvhonzk4xxQu12jOpg%3D%3D
Cross River; Senior Software Engineer; 160-200k; 5/18/26; Rejected; 5/22/2026;; https://www.linkedin.com/jobs/view/4375616627/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_2_jobid_4375616627_ssid_15257593108_fmid_mw6pip~mpb9edle~e4&refId=G17TzIoDT2YD3DApj4efYg%3D%3D&trackingId=NEmelxIx%2BaMI84BxIRAA4g%3D%3D
Finance of America; Software Developer Senior (SOFTW006609); ; 5/19/26;Open; 5/19/26;; https://jobright.ai/jobs/info/6a0b5ed2538d03366dc84bad?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1779207280226_8243&utm_medium=email
Nexaminds; AHC - Sr. Fullstack Enginer (C#, .NET, React, AI); ; 5/19/26;Open; 5/19/26;; https://jobright.ai/jobs/info/6a0baa734d932036368731d6?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1779207280226_8243&utm_medium=email
Aerostrat; Senior Software Engineer (Full-Stack); ; 5/19/26; Rejected; 6/5/26; Rejection Received; https://jobright.ai/jobs/info/6a0bc69c0411d7417a1b3fc6?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1779207280226_8243&utm_medium=email
BrothersTech; Dotnet Developer; ; 5/19/26;Open; 5/19/26;; https://jobright.ai/jobs/info/6a0b89b822d0d34036c8d88a?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1779207280226_8243&utm_medium=email
Infobahn Softworld Inc; Dotnet Developer; ; 5/19/26; Rejected; 5/22/2026;; https://jobright.ai/jobs/info/6a0b89b822d0d34036c8d88a?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1779207280226_8243&utm_medium=email
Seneca Resources; Software Developer III (179114498590); ; 5/19/26; Rejected; 5/22/2026;; https://jobright.ai/jobs/info/6a0b3bbb538d03366dc82e6e?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1779207280226_8243&utm_medium=email
McKeeson; Software Development Engineer (JR0147128); 116-193k; 5/19/26; Rejected; 5/22/2026;; https://jobright.ai/jobs/info/6a0b7326963f7a67d95cfda7?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1779207280226_8243&utm_medium=email
HealthEquity; Software Engineer II; 92-117k; 5/19/26; Rejected; 5/22/2026;; https://www.linkedin.com/jobs/view/4374328664/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4374328664_ssid_14583149764_fmid_mw6pip~mpct4jkw~12&refId=8BHzwaje8o%2BXifDMn4YlDQ%3D%3D&trackingId=ZScpGVFWQOoPnGT5RGPt9A%3D%3D
Zone 5 Technologies; Software Applications Engineer III/IV; 135-192k; 5/19/26; Rejected; 5/29/26; Rejection Received; https://www.linkedin.com/jobs/view/4411758361/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4411758361_ssid_14583149764_fmid_mw6pip~mpct4jkw~12&refId=8BHzwaje8o%2BXifDMn4YlDQ%3D%3D&trackingId=0jr%2F4VcGnX15Z5CqmQc1Lg%3D%3D
BJC HealthCare; Software Developer; 110-145k; 5/19/26;Open; 5/19/26;; https://www.glassdoor.com/job-listing/software-developer-bjc-healthcare-JV_KO0,18_KE19,33.htm?jl=1010138364325&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos1-agept-1010138364325&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jp0bjrtsm93i800-2658bbd439b05621&cs=1_9a0bb776&s=224&t=JA&pos=101&ja=399775333&guid=0000019e409ca1dbb8ee6e632e5620e3&jobListingId=1010138364325&ea=1&vt=e&cb=1779202388122&ctt=1779208870336&srs=EMAIL_JOB_ALERT&gdir=1
Regent University; Software Engineer; 67-107k; 5/19/26;Open; 5/19/26;; https://www.glassdoor.com/job-listing/software-engineer-regent-university-JV_IC1130324_KO0,17_KE18,35.htm?jl=1010134816266&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos4-age4d-1010134816266&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jp0bjrtsm93i800-d93ea6672fc7de92&cs=1_0fd2bf95&s=224&t=JA&pos=104&ja=399775333&guid=0000019e409ca1dbb8ee6e632e5620e3&jobListingId=1010134816266&vt=e&cb=1779202388119&ctt=1779208883130&srs=EMAIL_JOB_ALERT&gdir=1
Upland Capital Group; Quality Assurance & Test Engineer - Contract Assignment - Remote; 50-65/hr; 5/19/26;Open; 5/19/26;; https://www.glassdoor.com/job-listing/quality-assurance-test-engineer-contract-assignment-remote-upland-capital-group-JV_KO0,58_KE59,79.htm?jl=1010138656971&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos9-agept-1010138656971&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jp0bjrtsm93i800-4deccc0c7d8dc171&cs=1_167ac40c&s=224&t=JA&pos=109&ja=399775333&guid=0000019e409ca1dbb8ee6e632e5620e3&jobListingId=1010138656971&ea=1&vt=e&cb=1779202388123&ctt=1779208916565&srs=EMAIL_JOB_ALERT&gdir=1
Hii; DSCA .Net Core Developer (Software Engineer) (28637); 80-150k; 5/19/26;Open; 5/19/26;; https://www.glassdoor.com/job-listing/dsca-net-core-developer-software-engineer-hii-JV_IC1130337_KO0,41_KE42,45.htm?jl=1010138544993&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos12-agept-1010138544993&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jp0bjrtsm93i800-4f13e331809e2b91&cs=1_259227c6&s=224&t=JA&pos=112&ja=399775333&guid=0000019e409ca1dbb8ee6e632e5620e3&jobListingId=1010138544993&vt=e&cb=1779202388119&ctt=1779208930026&srs=EMAIL_JOB_ALERT&gdir=1
Digital Cloak; Senior Software Developer; 127-137k; 5/19/26;Open; 5/19/26;; https://www.glassdoor.com/job-listing/senior-software-developer-digital-cloak-JV_KO0,25_KE26,39.htm?jl=1010138643550&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos8-agept-1010138643550&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jp0b7fhah74s800-df90614b980f8ae1&cs=1_09abd0f0&s=224&t=JA&pos=108&ja=378462087&guid=0000019e409c91cd994fe1e44144563d&jobListingId=1010138643550&vt=e&cb=1779201982270&ctt=1779209023347&srs=EMAIL_JOB_ALERT&gdir=1
CGI; Automation, Reporting, & Content Development Engineer (J0526-1362); ; 5/19/26;Open; 5/19/26;; https://clients.njoyn.com/corp/xweb/xweb.asp?NTKN=c&page=login&BRID=1300972&jobid=J0526-1362
LuminDigital; Software Engineer; ; 5/19/26;Open; 5/19/26;; https://jobs.lever.co/LuminDigital/b033b735-ba2c-4d2f-a94d-e9ee9a1144a5/apply
Chainguard; Senior Software Engineer (.NET); 157-184k ; 5/19/26; Rejected; 5/29/26; Rejection Received; https://job-boards.greenhouse.io/chainguard/jobs/4672909006
Populate; Senior .NET Software Engineer; ; 5/19/26;Open; 5/19/26;; https://job-boards.greenhouse.io/applytopopulate/jobs/4962891004
Baxter; Field Service Technician II - Knoxville (JR- 201331); 47-57k ; 5/21/26;Open; 5/21/26;; https://jobs.baxter.com/en/job/-/-/152/94975773792
Effervescent Consulting; Application Developer; 70-80/hr; 5/21/26;Open; 5/21/26;; https://www.glassdoor.com/Job/index.htm?utm_source=jobsForYou&utm_medium=email&utm_content=jobs-for-you-jobsForYou-jobpos2-age13d-1010126534543&utm_campaign=jobsForYou&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-1-1jp5bgguogc1f800-8ee9d5f7500f5c8f&cs=1_85b07f77&s=362&t=REC_JOBS&pos=102&guid=0000019e42ec8b789e580b2ff46d3554&jobListingId=1010126534543&ea=1&rdforyou=true&vt=e&cb=1779370051340&gdir=1
Cyncly; .Net Developer; 75-110k; 5/21/26; Rejected; 5/22/2026;; https://fa-ewdg-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CynclyJobs/job/2512/?utm_medium=career+site&utm_source=job+alert
Infinity Software Development; Senior Software Engineer across a wide array of tech stacks; 80-125k; 5/21/26;Open; 5/21/26;; https://www.glassdoor.com/job-listing/senior-software-engineer-across-a-wide-array-of-tech-stacks-infinity-software-development-JV_KO0,59_KE60,89.htm?jl=1010140614690&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos10-agept-1010140614690&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jp4bev52h74p800-07c4e4c98f3e484e&cs=1_eb0ce3de&s=224&t=JA&pos=110&ja=388890994&guid=0000019e477a256b9e9a788fed4c4225&jobListingId=1010140614690&ea=1&vt=e&cb=1779336445328&ctt=1779371023787&srs=EMAIL_JOB_ALERT&gdir=1
Edmunds.com (CarMax); Software Engineer; 125-159k; 5/21/26; Rejected; 6/1/26; Rejection Received; https://www.glassdoor.com/job-listing/software-engineer-edmunds-com-JV_IC1146873_KO0,17_KE18,29.htm?jl=1010141024587&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos4-agejp-1010141024587&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jp48vb7t22rq001-7eb0068bed2158fe&cs=1_2a209f1e&s=224&t=JA&pos=104&ja=402221199&guid=0000019e47435cff8b919bd88f28e83b&jobListingId=1010141024587&ea=1&vt=e&cb=1779333836438&ctt=1779371089217&srs=EMAIL_JOB_ALERT&gdir=1
Subaru of America Inc.; Sr. Software Engineer; 116-127k; 5/21/26;Open; 5/21/26;; https://www.glassdoor.com/job-listing/sr-software-engineer-subaru-of-america-JV_IC1127087_KO0,20_KE21,38.htm?jl=1010139586159&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos5-age1d-1010139586159&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jp48vb7t22rq001-d6bedb23ecbbc9a4&cs=1_bccdeaef&s=224&t=JA&pos=105&ja=402221199&guid=0000019e47435cff8b919bd88f28e83b&jobListingId=1010139586159&vt=e&cb=1779333836434&ctt=1779371096089&srs=EMAIL_JOB_ALERT&gdir=1
Mouri Tech; Senior Software Engineer I (Sr .NET Developer) : 100% REMOTE; ; 5/21/26;Open; 5/21/26;;
Tria Federal; Sr. .NET Developer; ; 5/21/26;Open; 5/21/26;; https://jobright.ai/jobs/info/6a0e62f547fea1610bca9df5?utm_source=1121&imp_id=3673496432511879909__instant_push__1779329452232_2558&utm_medium=email
Benelynk; Sr.Software Engineer; 150-175k; 5/21/26;Open; 5/21/26;; https://www.indeed.com/viewjob?jk=16851f654e92fc20&tk=1jp3mofsjgie1803&from=serp&vjs=3
SIAA; Software Engineer; ; 5/21/26;Open; 5/21/26;; https://www.indeed.com/viewjob?jk=9b21a2bc266055c4&tk=1jp3mofsjgie1803&from=serp&vjs=3
Mind Computing; C#/.NET Developer (Remote Opportunity); 105-115k; 5/21/26; Rejected; 5/22/2026;; https://www.indeed.com/viewjob?jk=a94809c786949c48&tk=1jp3mqrrcgnkr801&from=serp&vjs=3
Clubessential; Software Engineer; ; 5/21/26;Open; 5/21/26;; https://www.indeed.com/viewjob?jk=2ab8e23664827927&tk=1jp3mru4dgnjf800&from=serp&vjs=3
Bloomerang; Software Engineer; 107-130; 5/21/26; Rejected; 5/26/26; Rejection received; https://jobright.ai/jobs/info/6a0e334080bf0430c762a940?utm_source=1121&imp_id=3673496432511879909__instant_push__1779318065917_6734&utm_medium=email
Codeworks IT Careers; Senior Software Engineer; ; 5/21/26; Rejected; 5/22/2026;; https://www.linkedin.com/jobs/view/4415665761/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_2_jobid_4415665761_ssid_15257593108_fmid_mw6pip~mpd1p6y3~bx&refId=%2FVDfbZmbM%2FKOCu2%2BHkMUdw%3D%3D&trackingId=W6DLA9nu%2BYxma5RuMeRtRQ%3D%3D
Blu Omega; Senior .Net Developer; 145-160k; 5/21/26;Open; 5/21/26;; https://www.glassdoor.com/job-listing/senior-net-developer-blu-omega-JV_KO0,20_KE21,30.htm?jl=1010138772991&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos7-agept-1010138772991&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jp16d6tf2mdq000-0e5e874bdc6d9ec9&cs=1_d2ff6e23&s=224&t=JA&pos=107&ja=380629936&guid=0000019e41afd296ac8b9034b5ce5aa5&jobListingId=1010138772991&vt=e&cb=1779230481701&ctt=1779232614785&srs=EMAIL_JOB_ALERT&gdir=1
Milestone Technologies, Inc.; Senior Engineer - (NPW) (12743); ; 5/21/26;Open; 5/21/26;; https://www.dice.com/job-detail/54e1347a-9803-4d84-9daa-5e999cd44375
Motion Recruitment Partners, LLC; Sr. Backend Engineer; 200-250k; 5/21/26;Open; 5/21/26;; https://www.dice.com/job-detail/71e21910-e616-4319-aead-ed0e94da17f8
Cypress Consulting; Senior Application Developer -- 100% remote - Must be US Citizen due to clearance; 140-170k; 5/21/26; Rejected; 5/30/26; Rejection Received; https://www.indeed.com/viewjob?cmp=Cypress-Consulting&t=Senior+Application+Developer&jk=2b4c76583a86ba36&q=c%23&xpse=SoC-67I3jhJgnTS4xp0LbzkdCdPP&xfps=a5d3f2e9-dd71-4d82-8c56-024c9240bf3b&xkcb=SoAT67M3jhJYVZSenh0JbzkdCdPP&vjs=3
Amentum; Junior Software Engineer for Naval Research Technology R0161491; 85-105k; 5/21/26; Rejected; 6/1/26; Rejection Received; https://www.indeed.com/viewjob?jk=048bfa30296a4318&tk=1jp10sqlsg6j2803&from=serp&vjs=3
Workiva; Software Support Engineer; 68-108k; 5/21/26;Open; 5/21/26;; https://www.glassdoor.com/job-listing/software-support-engineer-workiva-JV_KO0,25_KE26,33.htm?jl=1010138514700&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos11-agept-1010138514700&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jp0b7fhah74s800-c0e6ba5b0b1d83cc&cs=1_4426e373&s=224&t=JA&pos=111&ja=378462087&guid=0000019e409c91cd994fe1e44144563d&jobListingId=1010138514700&vt=e&cb=1779201982271&ctt=1779209039371&srs=EMAIL_JOB_ALERT&gdir=1
Jobot Consulting ; .NET API Developer (Plynouth Meeting PA) (Dan Urbaniak); 45-60/hr; 5/21/26;Open; 5/21/26;; https://jobot.com/details/-net-api-developer/dc2d345a06?utm_source=DigestAlert&utm_campaign=A&utm_medium=SimilarCandidate_JobTitle
Crate and Barrel; Software Engineer; 85-115k; 5/21/26;Open; 5/21/26;; https://www.glassdoor.com/job-listing/software-engineer-crate-and-barrel-JV_KO0,17_KE18,34.htm?jl=1010130990639&utm_source=jobactivity&utm_medium=email&utm_term=jobactcommodvar&utm_content=jas-recentjobs-jobpos1-noage-1010130990639&utm_campaign=jas&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-3-1jov927nh24s8h00&cs=1_2af67a0e&s=239&t=JA&pos=106&guid=0000019e3e911eda92415bf3f0c59a03&jobListingId=1010130990639&vt=e&cb=1779166158696&ctt=1779209281372&gdir=1
Great Value Hiring; Backend Engineer; 60-120/hr; 5/22/26;Open; 5/22/26;; https://www.linkedin.com/jobs/view/4407957237/?trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body_4407957237&refId=tz5FdduVSDSYZshuYIluAA%3D%3D&trackingId=QPX3f230QZ6dqujd4MdMZg%3D%3D
Aledade, Inc. ;Software Engineer II - Backend;; 5/22/26;Open; 5/22/26;; https://www.linkedin.com/jobs/view/4411865134/?trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body_4411865134&refId=UKvKAdahTB%2BmepLdFwjh8A%3D%3D&trackingId=pA75qUkoQB6z2rYXOVbEGg%3D%3D
Embrace ;software Engineer (.NET)\- Edtech Group;; 5/22/26;Open; 5/22/26;; https://jobright.ai/jobs/info/6a0f56759f654b3359ce48e7?utm_source=1121&imp_id=3673496432511879909__instant_push__1779421360599_9898&utm_medium=email
Rezdy; Senior Software Engineer; ; 5/22/26;Open; 5/22/26;; https://www.linkedin.com/jobs/view/4417797671/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4417797671_ssid_15257593108_fmid_mw6pip~mpgz5sel~7p&refId=tiSLquOEXKSS3n8YNXa0PQ%3D%3D&trackingId=WEc6YIOQa%2Fetfo8OSAWTfg%3D%3D
Enterprise Mobility; Senior Software Engineer - .NET/C#; 115-159k; 5/25/26;Open; 5/25/26;; https://www.glassdoor.com/Job/index.htm?utm_source=jobsForYou&utm_medium=email&utm_content=jobs-for-you-jobsForYou-jobpos4-age30d-1010097004825&utm_campaign=jobsForYou&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-1-1jpfe75e6gc2r800-a0d1c476137ca861&cs=1_2c4d949f&s=362&t=REC_JOBS&pos=104&guid=0000019e578f07e08b0399eca478d8ef&jobListingId=1010097004825&rdforyou=true&vt=e&cb=1779708434578&gdir=1
